posterior_current,posterior_prop,FOI_Var1,FOI_Var2,FOI_Var3,FOI_Var4,FOI_Var5,R0_Var1,R0_Var2,R0_Var3,R0_Var4,R0_Var5,p_rep_severe,p_rep_death,flag_accept,Test_FOI_Var1,Test_FOI_Var2,Test_FOI_Var3,Test_FOI_Var4,Test_FOI_Var5,Test_R0_Var1,Test_R0_Var2,Test_R0_Var3,Test_R0_Var4,Test_R0_Var5,Test_p_rep_severe,Test_p_rep_death,chain_cov_all
-324.6355073,-324.6355073,7.77E-09,2.06E-07,5.65E-10,1.05E-05,9.44E-13,0.018544001,0.211803923,0.011949048,0.610629469,0.249169994,0.109224827,0.226960755,1,7.77E-09,2.06E-07,5.65E-10,1.05E-05,9.44E-13,0.018544001,0.211803923,0.011949048,0.610629469,0.249169994,0.109224827,0.226960755,1
-323.0263896,-323.0263896,7.74E-09,2.06E-07,5.65E-10,1.05E-05,9.48E-13,0.018500227,0.211098679,0.01193317,0.613071957,0.249220214,0.109307923,0.227865381,1,7.74E-09,2.06E-07,5.65E-10,1.05E-05,9.48E-13,0.018500227,0.211098679,0.01193317,0.613071957,0.249220214,0.109307923,0.227865381,1
-323.0263896,-327.5013487,7.74E-09,2.06E-07,5.65E-10,1.05E-05,9.48E-13,0.018500227,0.211098679,0.01193317,0.613071957,0.249220214,0.109307923,0.227865381,0,7.75E-09,2.06E-07,5.65E-10,1.05E-05,9.48E-13,0.018522325,0.210770538,0.011936232,0.613667121,0.249625445,0.109038319,0.228891107,1
-323.5271953,-323.5271953,7.75E-09,2.06E-07,5.65E-10,1.06E-05,9.48E-13,0.018496437,0.211022579,0.011867618,0.610539186,0.248797307,0.109497957,0.228380045,1,7.75E-09,2.06E-07,5.65E-10,1.06E-05,9.48E-13,0.018496437,0.211022579,0.011867618,0.610539186,0.248797307,0.109497957,0.228380045,1
